# Xcode 27.0 Info.plist structure definitions: D class kind array-element; K parent key label class
D	_root_	Dictionary	
K	_root_	NSAdvertisingAttributionReportEndpoint	Advertising attribution report endpoint URL	String
K	_root_	NSCameraPortraitEffectEnabled	Camera — Opt in for Portrait Effect	Boolean
K	_root_	NSCameraStudioLightEnabled	Camera — Opt in for Studio Light Effect	Boolean
K	_root_	NSCameraReactionEffectsEnabled	Camera — Opt in for Reaction Effects	Boolean
K	_root_	NSCameraReactionEffectGesturesEnabledDefault	Camera — Default value of AVCaptureDevice.reactionEffectGesturesEnabled	Boolean
K	_root_	NSSupportsLiveActivities	Supports Live Activities	Boolean
K	_root_	NSSupportsLiveActivitiesFrequentUpdates	Supports Live Activities Frequent Updates	Boolean
K	_root_	NSStickerSharingLevel	Sticker Sharing Level	NSStickerSharingLevelTypes
K	_root_	NSAccessorySetupKitSupports	AccessorySetupKit - Supports	AccessorySetupKitSupportsArray
K	_root_	NSAccessorySetupBluetoothCompanyIdentifiers	AccessorySetupKit - Bluetooth Company Identifiers	StringArray
K	_root_	NSAccessorySetupBluetoothNames	AccessorySetupKit - Bluetooth Names	StringArray
K	_root_	NSAccessorySetupBluetoothServices	AccessorySetupKit - Bluetooth Services	StringArray
K	_root_	NSAutoFillRequiresTextContentTypeForOneTimeCodeOnMac	AutoFill requires text content type for one time code on Mac	Boolean
K	_root_	ITSAppUsesNonExemptEncryption	App Uses Non-Exempt Encryption	Boolean
K	_root_	ITSEncryptionExportComplianceCode	App Encryption Export Compliance Code	String
K	_root_	TFInternalTestingOnly	App can be distributed only to internal TestFlight testers	Boolean
K	_root_	UIAppSupportsHDR	Supports HDR color mode	Boolean
K	_root_	CLKComplicationPrincipalClass	ClockKit Complication - Principal Class	String
K	_root_	CLKComplicationSupportedFamilies	ClockKit Complication - Supported Families	ComplicationSupportedFamiliesArray
K	_root_	com.apple.developer.nfc.readersession.iso7816.select-identifiers	ISO7816 application identifiers for NFC Tag Reader Session	StringArray
K	_root_	com.apple.developer.nfc.readersession.felica.systemcodes	ISO18092 system codes for NFC Tag Reader Session	StringArray
K	_root_	LSBundleContainsCoreMLmlmodelc	Bundle contains CoreML models	Boolean
K	_root_	MetalCaptureEnabled	Metal Capture Enabled	Boolean
K	_root_	ASWebAuthenticationSessionWebBrowserSupportCapabilities	ASWeb Authentication Session Browser Support Capabilities	ASWebAuthenticationSessionWebBrowserSupportCapabilitiesDictionary
K	_root_	NSBonjourServices	Bonjour services	StringArray
K	_root_	ASAccountAuthenticationModificationOptOutOfSecurityPromptsOnSignIn	Opt out of showing account security prompts on app sign in	Boolean
K	_root_	ASAccountAuthenticationModificationSupportsUpgradeToSignInWithApple	Extension supports upgrade to Sign in with Apple	Boolean
K	_root_	ASAccountAuthenticationModificationSupportsStrongPasswordUpgrade	Extension supports upgrade to strong password	Boolean
K	_root_	ASAccountAuthenticationModificationPasswordGenerationRequirements	Strong password generation rules	String
K	_root_	NSAppClip	App Clip	NSAppClipDictionary
K	_root_	CoreSpotlightActions	Core Spotlight Custom Actions	CoreSpotlightActionsArray
K	_root_	NSBluetoothServices	Bluetooth Services	StringArray
K	_root_	SFSafariCorrespondingIOSAppBundleIdentifier	Safari - Associated iOS App Bundle Identifier	String
K	_root_	SFSafariCorrespondingIOSExtensionBundleIdentifier	Safari - Associated iOS Extension Bundle Identifier	String
